ExchangeSegment,ExchangeInstrumentID,Name,Description,InstrumentID,FreezeQty,TickSize,LotSize,Multiplier,displayName,ExpiryDate,OptionType,TickerName,ticker
NSEFO,10021495,WIPRO,WIPRO24NOV24DECFUT,2100110021495,45001,0.05,1500,1,,2024-11-28 14:30:00,1,1,
NSEFO,9970871,KOTAKBANK,KOTAKBANK24NOV24DECFUT,2100109970871,12001,0.05,400,1,,2024-11-28 14:30:00,1,1,
NSEFO,9193644,ASIANPAINT,ASIANPAINT24NOV24DECFUT,2100109193644,8001,0.05,200,1,,2024-11-28 14:30:00,1,1,
NSEFO,9977461,M&M,M&M24NOV24DECFUT,2100109977461,7001,0.05,175,1,,2024-11-28 14:30:00,1,1,
NSEFO,10016609,TECHM,TECHM24NOV24DECFUT,2100110016609,18001,0.05,600,1,,2024-11-28 14:30:00,1,1,
NSEFO,9968943,ITC,ITC24NOV24DECFUT,2100109968943,48001,0.05,1600,1,,2024-11-28 14:30:00,1,1,
NSEFO,10007116,SHREECEM,SHREECEM24NOV24DECFUT,2100110007116,1001,0.05,25,1,,2024-11-28 14:30:00,1,1,
NSEFO,9967566,IOC,IOC24NOV24DECFUT,2100109967566,146251,0.01,4875,1,,2024-11-28 14:30:00,1,1,
NSEFO,9988760,NESTLEIND,NESTLEIND24NOV24DECFUT,2100109988760,8001,0.05,200,1,,2024-11-28 14:30:00,1,1,
NSEFO,9958102,ICICIBANK,ICICIBANK24NOV24DECFUT,2100109958102,21001,0.05,700,1,,2024-11-28 14:30:00,1,1,
NSEFO,9422652,BRITANNIA,BRITANNIA24NOV24DECFUT,2100109422652,4001,0.05,100,1,,2024-11-28 14:30:00,1,1,
NSEFO,9147635,ADANIENT,ADANIENT24NOV24DECFUT,2100109147635,9001,0.05,300,1,,2024-11-28 14:30:00,1,1,
NSEFO,9213911,AXISBANK,AXISBANK24NOV24DECFUT,2100109213911,18751,0.05,625,1,,2024-11-28 14:30:00,1,1,
NSEFO,9412360,BHARTIARTL,BHARTIARTL24NOV24DECFUT,2100109412360,14251,0.05,475,1,,2024-11-28 14:30:00,1,1,
NSEFO,10019180,ULTRACEMCO,ULTRACEMCO24NOV24DECFUT,2100110019180,2001,0.05,50,1,,2024-11-28 14:30:00,1,1,
NSEFO,10006859,SBIN,SBIN24NOV24DECFUT,2100110006859,30001,0.05,750,1,,2024-11-28 14:30:00,1,1,
