ExchangeSegment,ExchangeInstrumentID,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentID,PriceBand.High,PriceBand.Low,FreezeQty,TickSize,LotSize,Multiplier,displayName,ExpiryDate,TickerName,ticker
NSEFO,10533957,4,HDFCLIFE,HDFCLIFE25JAN25FEBFUT,FUTSTK,HDFCLIFE-FUTSTK,2100110533957,15.7,-15.7,33001,0.05,1100,1,,2025-01-30 14:30:00,HDFCLIFE 30JAN27FEB SPD,HDFCLIFE25JAN25FEBFUT
NSEFO,10613327,4,RELIANCE,RELIANCE25FEB25MARFUT,FUTSTK,RELIANCE-FUTSTK,2100110613327,31.05,-31.05,20001,0.05,500,1,,2025-02-27 14:30:00,RELIANCE 27FEB27MAR SPD,RELIANCE25FEB25MARFUT
NSEFO,9081928,4,APOLLOHOSP,APOLLOHOSP25JAN25FEBFUT,FUTSTK,APOLLOHOSP-FUTSTK,2100109081928,169.2,-169.2,3751,0.05,125,1,,2025-01-30 14:30:00,APOLLOHOSP 30JAN27FEB SPD,APOLLOHOSP25JAN25FEBFUT
NSEFO,10539174,4,ICICIBANK,ICICIBANK25JAN25FEBFUT,FUTSTK,ICICIBANK-FUTSTK,2100110539174,31.25,-31.25,21001,0.05,700,1,,2025-01-30 14:30:00,ICICIBANK 30JAN27FEB SPD,ICICIBANK25JAN25FEBFUT
NSEFO,10367617,4,BRITANNIA,BRITANNIA25JAN25FEBFUT,FUTSTK,BRITANNIA-FUTSTK,2100110367617,125.45,-125.45,5001,0.05,100,1,,2025-01-30 14:30:00,BRITANNIA 30JAN27FEB SPD,BRITANNIA25JAN25FEBFUT
NSEFO,10617436,4,SHREECEM,SHREECEM25FEB25MARFUT,FUTSTK,SHREECEM-FUTSTK,2100110617436,652.25,-652.25,1001,0.05,25,1,,2025-02-27 14:30:00,SHREECEM 27FEB27MAR SPD,SHREECEM25FEB25MARFUT
NSEFO,10559186,4,JSWSTEEL,JSWSTEEL25JAN25FEBFUT,FUTSTK,JSWSTEEL-FUTSTK,2100110559186,23.5,-23.5,27001,0.05,675,1,,2025-01-30 14:30:00,JSWSTEEL 30JAN27FEB SPD,JSWSTEEL25JAN25FEBFUT
NSEFO,9046276,4,ADANIPORTS,ADANIPORTS25JAN25FEBFUT,FUTSTK,ADANIPORTS-FUTSTK,2100109046276,27.45,-27.45,16001,0.05,400,1,,2025-01-30 14:30:00,ADANIPORTS 30JAN27FEB SPD,ADANIPORTS25JAN25FEBFUT
NSEFO,10909361,4,NTPC,NTPC25JAN25FEBFUT,FUTSTK,NTPC-FUTSTK,2100110909361,8.05,-8.05,60001,0.05,1500,1,,2025-01-30 14:30:00,NTPC 30JAN27FEB SPD,NTPC25JAN25FEBFUT
NSEFO,10534215,4,HEROMOTOCO,HEROMOTOCO25JAN25FEBFUT,FUTSTK,HEROMOTOCO-FUTSTK,2100110534215,101.9,-101.9,4501,0.05,150,1,,2025-01-30 14:30:00,HEROMOTOCO 30JAN27FEB SPD,HEROMOTOCO25JAN25FEBFUT
NSEFO,10927350,4,TCS,TCS25JAN25FEBFUT,FUTSTK,TCS-FUTSTK,2100110927350,102.45,-102.45,5251,0.05,175,1,,2025-01-30 14:30:00,TCS 30JAN27FEB SPD,TCS25JAN25FEBFUT
NSEFO,10010831,4,INDUSINDBK,INDUSINDBK25FEB25MARFUT,FUTSTK,INDUSINDBK-FUTSTK,2100110010831,23.85,-23.85,20001,0.05,500,1,,2025-02-27 14:30:00,INDUSINDBK 27FEB27MAR SPD,INDUSINDBK25FEB25MARFUT
NSEFO,10078117,4,MARUTI,MARUTI25FEB25MARFUT,FUTSTK,MARUTI-FUTSTK,2100110078117,299.35,-299.35,2001,0.05,50,1,,2025-02-27 14:30:00,MARUTI 27FEB27MAR SPD,MARUTI25FEB25MARFUT
NSEFO,9074863,4,BAJAJ-AUTO,BAJAJ-AUTO25FEB25MARFUT,FUTSTK,BAJAJ-AUTO-FUTSTK,2100109074863,216.5,-216.5,3001,0.05,75,1,,2025-02-27 14:30:00,BAJAJ-AUTO 27FEB27MAR SPD,BAJAJ-AUTO25FEB25MARFUT
NSEFO,10578457,4,M&M,M&M25JAN25FEBFUT,FUTSTK,M&M-FUTSTK,2100110578457,73.05,-73.05,8751,0.05,175,1,,2025-01-30 14:30:00,M&M 30JAN27FEB SPD,M&M25JAN25FEBFUT
NSEFO,10377694,4,NTPC,NTPC25FEB25MARFUT,FUTSTK,NTPC-FUTSTK,2100110377694,8,-8,60001,0.05,1500,1,,2025-02-27 14:30:00,NTPC 27FEB27MAR SPD,NTPC25FEB25MARFUT
NSEFO,10920278,4,SBILIFE,SBILIFE25JAN25FEBFUT,FUTSTK,SBILIFE-FUTSTK,2100110920278,36.45,-36.45,15001,0.05,375,1,,2025-01-30 14:30:00,SBILIFE 30JAN27FEB SPD,SBILIFE25JAN25FEBFUT
NSEFO,10912282,4,ONGC,ONGC25JAN25FEBFUT,FUTSTK,ONGC-FUTSTK,2100110912282,6.28,-6.28,96251,0.01,1925,1,,2025-01-30 14:30:00,ONGC 30JAN27FEB SPD,ONGC25JAN25FEBFUT
NSEFO,10463368,4,COALINDIA,COALINDIA25JAN25FEBFUT,FUTSTK,COALINDIA-FUTSTK,2100110463368,9.5,-9.5,52501,0.05,1050,1,,2025-01-30 14:30:00,COALINDIA 30JAN27FEB SPD,COALINDIA25JAN25FEBFUT
NSEFO,10616663,4,SBILIFE,SBILIFE25FEB25MARFUT,FUTSTK,SBILIFE-FUTSTK,2100110616663,36.65,-36.65,15001,0.05,375,1,,2025-02-27 14:30:00,SBILIFE 27FEB27MAR SPD,SBILIFE25FEB25MARFUT
NSEFO,10531859,4,HCLTECH,HCLTECH25JAN25FEBFUT,FUTSTK,HCLTECH-FUTSTK,2100110531859,43.05,-43.05,14001,0.05,350,1,,2025-01-30 14:30:00,HCLTECH 30JAN27FEB SPD,HCLTECH25JAN25FEBFUT
NSEFO,9032665,4,ADANIENT,ADANIENT25JAN25FEBFUT,FUTSTK,ADANIENT-FUTSTK,2100109032665,58,-58,9001,0.05,300,1,,2025-01-30 14:30:00,ADANIENT 30JAN27FEB SPD,ADANIENT25JAN25FEBFUT
NSEFO,10497382,4,EICHERMOT,EICHERMOT25JAN25FEBFUT,FUTSTK,EICHERMOT-FUTSTK,2100110497382,129.5,-129.5,5251,0.05,175,1,,2025-01-30 14:30:00,EICHERMOT 30JAN27FEB SPD,EICHERMOT25JAN25FEBFUT
